full_date,Yield,hard_percent,medium_percent,friable_percent,density_wmt_bcm_percent,fe_percent,sio2_percent,al2o3_percent,p_percent,mn_percent,s_percent,cl_percent,cr_percent,k2o_percent,tio2_percent,v_percent,loi_percent,di_percent,moisture_percent,volume,as_percent,ba_percent,cao_percent,co_percent,cu_percent,mgo_percent,na2o_percent,ni_percent,pb_percent,sn_percent,sr_percent,zn_percent,zr_percent,loi_425_percent,loi_650_percent,loi_1000_percent
23/02/2018,0.79029169,21.5324669,45.22633387,33.243597,2.975316553,58.93961486,6.580184054,2.837022126,0.057464325,0.467010806,0.058565294,0.006965425,0.050091508,0.083626541,0.265713142,0.07608344,4.636884257,8.205139213,7.197628535,332.4875503,0.008901604,0.014251343,0.098775613,0.002298496,0.002978926,0.106099027,0.026822023,0.004591107,0.004514289,0.002322237,2.665730265,0.004451639,0.005710682,5.235250103,1.417798432,0.3689334
24/02/2018,0.755963181,19.31872498,43.04261334,37.63873367,2.986277401,59.37037632,6.097678915,2.955585981,0.057078496,0.554080184,0.046606389,0.00717676,0.040326202,0.08104511,0.216249955,0.065116246,4.355236526,7.816392132,6.974323741,325.1612846,0.006285375,0.015072174,0.102428777,0.003088781,0.003524084,0.107293538,0.026273513,0.005118485,0.003832126,0.002343147,1.681992232,0.005689312,0.00450867,3.918680385,1.442943246,0.354901153
25/02/2018,0.792271239,22.81999172,45.10920704,32.07152097,3.093099351,59.8124988,5.870542784,2.734128097,0.063180474,0.49309356,0.053087489,0.005818622,0.058371576,0.103501045,0.251791201,0.096613217,4.073151643,8.296494802,7.609025046,309.2031409,0.01234349,0.017288991,0.092049044,0.003002666,0.00318049,0.084222117,0.024188613,0.004995804,0.004473551,0.002475321,8.567808936,0.00529599,0.005290967,9.93443154,1.892668088,0.358515113
26/02/2018,0.807331612,24.3820913,44.8013801,30.78960391,3.107074396,59.63922208,6.135626406,2.821890486,0.051522582,0.415923025,0.049418573,0.007132443,0.057693213,0.083640558,0.238975186,0.096892803,4.1346261,8.588362558,7.42147127,292.9280793,0.010121364,0.020536254,0.101920239,0.002141286,0.002951082,0.089803565,0.026088884,0.004004138,0.004429539,0.002488831,7.659215343,0.003850436,0.005405552,9.396198252,1.691553937,0.341574504
27/02/2018,0.801361864,25.25204096,43.28757957,31.4559951,3.082514672,59.73286147,6.081303775,2.947658522,0.051277944,0.298147582,0.043128239,0.0093136,0.058128719,0.063813514,0.226905473,0.099195862,4.170741374,9.131713064,7.434676014,353.0958614,0.007752081,0.015397599,0.084393478,0.002039815,0.00303111,0.092269244,0.025669617,0.004472289,0.004510565,0.00240495,7.625986253,0.004271657,0.005194691,9.747334037,1.485810872,0.32016437
3/03/2018,0.761714662,26.51465059,39.56676432,33.92378572,3.093163896,58.64766322,6.839142402,3.330479828,0.040305948,0.492283975,0.048188519,0.00832006,0.056148698,0.06788135,0.264740498,0.101692544,4.250536435,8.376921383,6.51727222,0.323293844,0.007969779,0.026403213,0.100574558,0.002401568,0.003736597,0.085929659,0.025799014,0.004000712,0.004090809,0.0021097,0.003712122,0.004114231,0.006505366,4.021110004,0.81203178,0.350692681
4/03/2018,0.746291785,20.91504993,37.36919834,41.71780133,3.07444384,59.99667632,5.295225311,2.885064135,0.065204527,0.438511699,0.039534639,0.007273585,0.046070896,0.073551263,0.250641517,0.085024705,4.445647348,8.3666562,6.919909467,147.3463765,0.007026067,0.019436828,0.087548768,0.002699584,0.003169448,0.090230178,0.022804408,0.005830478,0.004203183,0.002339149,1.630214599,0.007588544,0.005864402,4.539293473,1.423326863,0.316724974
5/03/2018,0.77834058,21.80621348,39.58556279,38.6094837,3.128163643,60.49020695,5.093630655,2.633441187,0.066215769,0.442472594,0.043975761,0.006122565,0.055426692,0.073332297,0.240149028,0.106559851,4.103216483,8.696681248,7.454766702,264.8447539,0.008177558,0.019423253,0.099312721,0.002361334,0.002848272,0.098045164,0.02480761,0.005271264,0.004785998,0.002582232,1.663555982,0.006106224,0.005413362,4.290280628,1.221491776,0.32567332
6/03/2018,0.773172057,21.79597435,41.04051771,37.16328242,3.079246809,59.52225466,5.943426469,3.028822265,0.055233753,0.501407913,0.041434568,0.006531789,0.042231979,0.063549615,0.233957269,0.088933534,4.193537385,7.956392045,7.147500243,273.1179752,0.006524191,0.019923001,0.106368198,0.002131389,0.00312338,0.109684775,0.025755359,0.004658285,0.00438151,0.002475875,0.320363998,0.005217462,0.005283819,3.212286096,1.083868694,0.331989012
7/03/2018,0.728219834,23.73028067,42.39424736,33.87594044,3.046750789,59.94314892,5.663189364,2.73970478,0.063216082,0.43569342,0.043112191,0.006827592,0.05089189,0.068039719,0.238374024,0.101667301,4.224094855,8.570115193,7.367302106,261.5683548,0.008310444,0.018908726,0.09836203,0.002205973,0.003370575,0.108072038,0.025046502,0.004753192,0.004625141,0.002391647,1.246049695,0.004956856,0.005598108,4.31824393,1.244231885,0.315617044
8/03/2018,0.762065637,20.17537179,40.91555,38.90969243,3.101776341,60.23124111,5.444764729,2.905215725,0.057945597,0.381605488,0.038627521,0.006732306,0.046755262,0.060635094,0.22369397,0.094854789,4.023852534,8.38840689,7.087965438,252.2599083,0.007351609,0.016511432,0.087893919,0.002361198,0.003310874,0.086345246,0.024804867,0.005312482,0.00421031,0.002277441,1.369108599,0.005236895,0.00519596,4.49471871,1.214075238,0.299618101
9/03/2018,0.765493772,20.91049472,39.83407196,39.25513542,3.104816181,60.48957642,5.35610253,2.549625447,0.058717549,0.466902451,0.043914689,0.005489033,0.063429186,0.074429462,0.238836798,0.116717904,3.925090169,9.125724309,7.109720991,332.3031613,0.008607455,0.019401935,0.08243428,0.001996038,0.00307337,0.093173972,0.023007014,0.004467108,0.004872356,0.00241294,1.331156888,0.004922182,0.005334761,3.996919182,1.18180164,0.312226625
10/03/2018,0.812676475,21.7149229,43.17232266,35.11237946,3.072321919,59.62450595,6.005362564,2.657222408,0.051717509,0.606881668,0.045007525,0.006258864,0.064548597,0.082404177,0.240830219,0.115187545,4.245998865,9.320154125,6.94778163,362.435429,0.007895536,0.022145358,0.077994079,0.001962337,0.003310691,0.096693706,0.023763816,0.004096381,0.004808747,0.002333342,0.384928479,0.004249406,0.005422162,3.341148744,0.970974813,0.325411069
11/03/2018,0.801640935,19.87522936,40.54194715,39.58284432,3.062371926,60.01707742,6.037440839,2.446173432,0.051291624,0.38251611,0.048762441,0.0070105,0.078710463,0.070716792,0.263966203,0.142127022,4.098925482,9.304559716,6.703058832,335.9843095,0.008671958,0.020042666,0.074241345,0.001967655,0.00312222,0.086485739,0.02182945,0.004193182,0.004792676,0.002339546,0.486163894,0.004547637,0.005960191,3.368319588,0.889702598,0.316480056
